Entrez_ID	Main Class	Classification
341152.0	Receptors	GPCR;Olf
127623.0	Receptors	GPCR;Olf
81697.0	Receptors	GPCR;Olf
26212.0	Receptors	GPCR;Olf
4993.0	Receptors	GPCR;Olf
120776.0	Receptors	GPCR;Olf
120775.0	Receptors	GPCR;Olf
26211.0	Receptors	GPCR;Olf
135948.0	Receptors	GPCR;Olf
81470.0	Receptors	GPCR;Olf
81469.0	Receptors	GPCR;Olf
391211.0	Receptors	GPCR;Olf
26716.0	Receptors	GPCR;Olf
7932.0	Receptors	GPCR;Olf
442185.0	Receptors	GPCR;Olf
26707.0	Receptors	GPCR;Olf
442186.0	Receptors	GPCR;Olf
284521.0	Receptors	GPCR;Olf
26246.0	Receptors	GPCR;Olf
391192.0	Receptors	GPCR;Olf
81466.0	Receptors	GPCR;Olf
391190.0	Receptors	GPCR;Olf
391194.0	Receptors	GPCR;Olf
127062.0	Receptors	GPCR;Olf
26245.0	Receptors	GPCR;Olf
127059.0	Receptors	GPCR;Olf
391196.0	Receptors	GPCR;Olf
56656.0	Receptors	GPCR;Olf
26696.0	Receptors	GPCR;Olf
127069.0	Receptors	GPCR;Olf
127077.0	Receptors	GPCR;Olf
127064.0	Receptors	GPCR;Olf
401992.0	Receptors	GPCR;Olf
403239.0	Receptors	GPCR;Olf
343563.0	Receptors	GPCR;Olf
343173.0	Receptors	GPCR;Olf
391195.0	Receptors	GPCR;Olf
127074.0	Receptors	GPCR;Olf
401993.0	Receptors	GPCR;Olf
254879.0	Receptors	GPCR;Olf
343172.0	Receptors	GPCR;Olf
26693.0	Receptors	GPCR;Olf
285659.0	Receptors	GPCR;Olf
26692.0	Receptors	GPCR;Olf
343171.0	Receptors	GPCR;Olf
441932.0	Receptors	GPCR;Olf
134083.0	Receptors	GPCR;Olf
284383.0	Receptors	GPCR;Olf
4995.0	Receptors	GPCR;Olf
8392.0	Receptors	GPCR;Olf
81328.0	Receptors	GPCR;Olf
81327.0	Receptors	GPCR;Olf
403253.0	Receptors	GPCR;Olf
81318.0	Receptors	GPCR;Olf
119765.0	Receptors	GPCR;Olf
219429.0	Receptors	GPCR;Olf
283093.0	Receptors	GPCR;Olf
81309.0	Receptors	GPCR;Olf
219428.0	Receptors	GPCR;Olf
256144.0	Receptors	GPCR;Olf
403257.0	Receptors	GPCR;Olf
119749.0	Receptors	GPCR;Olf
79346.0	Receptors	GPCR;Olf
219432.0	Receptors	GPCR;Olf
26689.0	Receptors	GPCR;Olf
390197.0	Receptors	GPCR;Olf
219986.0	Receptors	GPCR;Olf
124538.0	Receptors	GPCR;Olf
219875.0	Receptors	GPCR;Olf
219983.0	Receptors	GPCR;Olf
390199.0	Receptors	GPCR;Olf
26686.0	Receptors	GPCR;Olf
26683.0	Receptors	GPCR;Olf
81099.0	Receptors	GPCR;Olf
441308.0	Receptors	GPCR;Olf
26682.0	Receptors	GPCR;Olf
79501.0	Receptors	GPCR;Olf
390648.0	Receptors	GPCR;Olf
79544.0	Receptors	GPCR;Olf
390433.0	Receptors	GPCR;Olf
122740.0	Receptors	GPCR;Olf
81127.0	Receptors	GPCR;Olf
390436.0	Receptors	GPCR;Olf
390431.0	Receptors	GPCR;Olf
283617.0	Receptors	GPCR;Olf
79317.0	Receptors	GPCR;Olf
122742.0	Receptors	GPCR;Olf
441670.0	Receptors	GPCR;Olf
390538.0	Receptors	GPCR;Olf
390539.0	Receptors	GPCR;Olf
283694.0	Receptors	GPCR;Olf
390437.0	Receptors	GPCR;Olf
81300.0	Receptors	GPCR;Olf
441669.0	Receptors	GPCR;Olf
256148.0	Receptors	GPCR;Olf
219431.0	Receptors	GPCR;Olf
390113.0	Receptors	GPCR;Olf
119764.0	Receptors	GPCR;Olf
401667.0	Receptors	GPCR;Olf
401666.0	Receptors	GPCR;Olf
119687.0	Receptors	GPCR;Olf
79345.0	Receptors	GPCR;Olf
79339.0	Receptors	GPCR;Olf
282763.0	Receptors	GPCR;Olf
390058.0	Receptors	GPCR;Olf
390038.0	Receptors	GPCR;Olf
143503.0	Receptors	GPCR;Olf
256892.0	Receptors	GPCR;Olf
119694.0	Receptors	GPCR;Olf
79324.0	Receptors	GPCR;Olf
81282.0	Receptors	GPCR;Olf
390063.0	Receptors	GPCR;Olf
390064.0	Receptors	GPCR;Olf
119682.0	Receptors	GPCR;Olf
390059.0	Receptors	GPCR;Olf
390061.0	Receptors	GPCR;Olf
119692.0	Receptors	GPCR;Olf
401665.0	Receptors	GPCR;Olf
283111.0	Receptors	GPCR;Olf
23538.0	Receptors	GPCR;Olf
390053.0	Receptors	GPCR;Olf
390054.0	Receptors	GPCR;Olf
255725.0	Receptors	GPCR;Olf
143496.0	Receptors	GPCR;Olf
340980.0	Receptors	GPCR;Olf
390066.0	Receptors	GPCR;Olf
79296.0	Receptors	GPCR;Olf
119678.0	Receptors	GPCR;Olf
390081.0	Receptors	GPCR;Olf
390082.0	Receptors	GPCR;Olf
390078.0	Receptors	GPCR;Olf
390079.0	Receptors	GPCR;Olf
390067.0	Receptors	GPCR;Olf
390037.0	Receptors	GPCR;Olf
143502.0	Receptors	GPCR;Olf
119679.0	Receptors	GPCR;Olf
390036.0	Receptors	GPCR;Olf
338751.0	Receptors	GPCR;Olf
119772.0	Receptors	GPCR;Olf
79473.0	Receptors	GPCR;Olf
390077.0	Receptors	GPCR;Olf
390072.0	Receptors	GPCR;Olf
390075.0	Receptors	GPCR;Olf
119695.0	Receptors	GPCR;Olf
120796.0	Receptors	GPCR;Olf
390083.0	Receptors	GPCR;Olf
120793.0	Receptors	GPCR;Olf
387748.0	Receptors	GPCR;Olf
196335.0	Receptors	GPCR;Olf
219982.0	Receptors	GPCR;Olf
219981.0	Receptors	GPCR;Olf
390181.0	Receptors	GPCR;Olf
390195.0	Receptors	GPCR;Olf
338675.0	Receptors	GPCR;Olf
219493.0	Receptors	GPCR;Olf
219447.0	Receptors	GPCR;Olf
284532.0	Receptors	GPCR;Olf
390445.0	Receptors	GPCR;Olf
390191.0	Receptors	GPCR;Olf
219965.0	Receptors	GPCR;Olf
390190.0	Receptors	GPCR;Olf
219968.0	Receptors	GPCR;Olf
441608.0	Receptors	GPCR;Olf
127066.0	Receptors	GPCR;Olf
401994.0	Receptors	GPCR;Olf
392391.0	Receptors	GPCR;Olf
390142.0	Receptors	GPCR;Olf
219436.0	Receptors	GPCR;Olf
390144.0	Receptors	GPCR;Olf
338674.0	Receptors	GPCR;Olf
26341.0	Receptors	GPCR;Olf
403273.0	Receptors	GPCR;Olf
403274.0	Receptors	GPCR;Olf
79310.0	Receptors	GPCR;Olf
79295.0	Receptors	GPCR;Olf
10798.0	Receptors	GPCR;Olf
282775.0	Receptors	GPCR;Olf
26339.0	Receptors	GPCR;Olf
402135.0	Receptors	GPCR;Olf
403277.0	Receptors	GPCR;Olf
403278.0	Receptors	GPCR;Olf
219437.0	Receptors	GPCR;Olf
26338.0	Receptors	GPCR;Olf
390168.0	Receptors	GPCR;Olf
390167.0	Receptors	GPCR;Olf
219487.0	Receptors	GPCR;Olf
219484.0	Receptors	GPCR;Olf
390162.0	Receptors	GPCR;Olf
120065.0	Receptors	GPCR;Olf
120066.0	Receptors	GPCR;Olf
219479.0	Receptors	GPCR;Olf
390155.0	Receptors	GPCR;Olf
219464.0	Receptors	GPCR;Olf
390154.0	Receptors	GPCR;Olf
442191.0	Receptors	GPCR;Olf
390148.0	Receptors	GPCR;Olf
8590.0	Receptors	GPCR;Olf
135946.0	Receptors	GPCR;Olf
389090.0	Receptors	GPCR;Olf
150681.0	Receptors	GPCR;Olf
390321.0	Receptors	GPCR;Olf
341416.0	Receptors	GPCR;Olf
